"","uniqueid","enroldt","Pctpov","poverty_rate","integrated"
"307",806,"12/30/2004",5.347593583,NA,5.347593583
"308",807,"12/30/2004",NA,NA,NA
"309",810,"1/3/2005",23.88831437,NA,23.88831437
"310",811,"1/3/2005",21.1059641,20.6691239013326,21.1059641
"311",814,"1/4/2005",28.48153668,NA,28.48153668
"312",818,"1/4/2005",34.88045007,NA,34.88045007
"313",820,"1/5/2005",34.33559651,NA,34.33559651
"314",821,"1/5/2005",22.33926625,NA,22.33926625
"315",822,"1/5/2005",12.21020093,NA,12.21020093
"316",823,"1/5/2005",10.72549704,NA,10.72549704
"317",824,"1/5/2005",24.75463468,NA,24.75463468
"318",827,"1/6/2005",15.21441159,15.2144115919326,15.21441159
"319",831,"1/6/2005",NA,10.8108108108108,10.8108108108108
"320",832,"1/6/2005",21.22200021,NA,21.22200021
"321",834,"1/7/2005",24.9614495,NA,24.9614495
"322",835,"1/7/2005",NA,NA,NA
"323",846,"1/11/2005",19.07570105,NA,19.07570105
"324",849,"1/11/2005",NA,NA,NA
"325",854,"1/12/2005",9.682139663,NA,9.682139663
"326",855,"1/12/2005",25.50834849,NA,25.50834849
"327",859,"1/13/2005",5.535872453,5.4993400791905,5.535872453
"328",861,"1/13/2005",NA,NA,NA
"329",867,"1/18/2005",14.93251324,NA,14.93251324
"330",875,"1/18/2005",22.6899384,22.3119636547198,22.6899384
"331",876,"1/19/2005",25.92592593,25.9259259259259,25.92592593
"332",877,"1/19/2005",23.97779833,NA,23.97779833
"333",879,"1/19/2005",16.55868902,NA,16.55868902
"334",883,"1/20/2005",32.70011365,NA,32.70011365
"335",884,"1/21/2005",15.43209877,NA,15.43209877
"336",885,"1/21/2005",10.88240256,NA,10.88240256
"337",886,"1/21/2005",NA,NA,NA
"338",887,"1/21/2005",2.820721454,NA,2.820721454
"339",889,"1/24/2005",NA,NA,NA
"340",890,"1/24/2005",4.444589054,NA,4.444589054
"341",891,"1/24/2005",24.73668372,23.6342725704428,24.73668372
"342",893,"1/25/2005",NA,NA,NA
"343",894,"1/25/2005",NA,NA,NA
"344",897,"1/26/2005",9.553512804,7.36895416561155,9.553512804
"345",898,"1/26/2005",32.95568983,31.6795740561471,32.95568983
"346",899,"1/26/2005",30.35339922,NA,30.35339922
"347",901,"1/27/2005",15.61634733,NA,15.61634733
"348",902,"1/27/2005",NA,NA,NA
"349",904,"1/27/2005",NA,NA,NA
"350",909,"1/31/2005",6.112355356,NA,6.112355356
"351",910,"1/31/2005",17.53570242,15.8368326334733,17.53570242
"352",913,"2/1/2005",NA,NA,NA
"353",915,"2/1/2005",NA,NA,NA
"354",918,"2/1/2005",28.59168242,NA,28.59168242
"355",920,"2/2/2005",26.94562361,26.2763650699783,26.94562361
"356",927,"2/4/2005",5.18658479,NA,5.18658479
"357",930,"2/4/2005",NA,10.1889338731444,10.1889338731444
"358",941,"2/8/2005",NA,NA,NA
"359",945,"2/14/2005",NA,NA,NA
"360",946,"2/14/2005",9.985170539,8.95985806165447,9.985170539
"361",952,"2/14/2005",NA,NA,NA
"362",953,"2/15/2005",NA,NA,NA
"363",954,"2/15/2005",13.62392494,NA,13.62392494
"364",959,"2/16/2005",20.25061213,NA,20.25061213
"365",961,"2/16/2005",NA,NA,NA
"366",965,"2/17/2005",7.697807436,7.697807435653,7.697807436
"367",968,"2/18/2005",12.07207207,NA,12.07207207
"368",971,"2/22/2005",11.20365395,10.8706986444213,11.20365395
"369",976,"2/22/2005",NA,NA,NA
"370",977,"2/22/2005",NA,NA,NA
"371",978,"2/23/2005",21.32461161,NA,21.32461161
"372",979,"2/23/2005",NA,NA,NA
"373",982,"2/24/2005",NA,NA,NA
"374",984,"2/24/2005",2.411396207,NA,2.411396207
"375",994,"3/1/2005",NA,NA,NA
"376",997,"4/12/2006",NA,13.0034061310359,13.0034061310359
"377",999,"4/13/2005",9.553512804,NA,9.553512804
"378",1001,"4/13/2005",11.63095759,NA,11.63095759
"379",1006,"4/14/2005",21.50474799,NA,21.50474799
"380",1007,"4/15/2005",NA,NA,NA
"381",1008,"4/15/2005",NA,NA,NA
"382",1011,"4/18/2005",19.07570105,NA,19.07570105
"383",1012,"4/18/2005",11.63529145,11.5853658536585,11.63529145
"384",1022,"4/22/2005",NA,NA,NA
"385",1028,"4/26/2005",5.367621678,NA,5.367621678
"386",1030,"4/26/2005",14.03390592,NA,14.03390592
"387",1037,"5/2/2005",21.44883264,NA,21.44883264
"388",1038,"5/2/2005",14.08385093,NA,14.08385093
"389",1043,"5/2/2005",9.241470686,NA,9.241470686
"390",1046,"5/3/2005",NA,NA,NA
"391",1049,"5/4/2005",5.7104403,NA,5.7104403
"392",1052,"5/4/2005",NA,18.0956968529223,18.0956968529223
"393",1059,"5/10/2005",NA,4.79347271800102,4.79347271800102
"394",1063,"5/10/2005",3.206505063,NA,3.206505063
"395",1064,"5/10/2005",11.41052632,NA,11.41052632
"396",1068,"5/11/2005",5.442902882,5.44290288153682,5.442902882
"397",1070,"5/12/2005",8.475809385,8.43286283025697,8.475809385
"398",1071,"5/12/2005",2.279360667,NA,2.279360667
"399",1072,"5/12/2005",NA,NA,NA
"400",1080,"5/16/2005",NA,NA,NA
"401",1081,"5/16/2005",8.253358925,NA,8.253358925
"402",1082,"5/16/2005",7.204610951,NA,7.204610951
"403",1083,"5/16/2005",14.60288396,NA,14.60288396
"404",1084,"5/17/2005",9.927486188,NA,9.927486188
"405",1086,"5/17/2005",NA,NA,NA
"406",1093,"5/24/2005",11.64413432,11.3859275053305,11.64413432
"407",1094,"5/24/2005",NA,NA,NA
"408",1096,"5/24/2005",NA,NA,NA
"409",1097,"5/24/2005",15.57340473,NA,15.57340473
"410",1098,"5/25/2005",20.93278464,NA,20.93278464
"411",1101,"5/26/2005",6.114839672,NA,6.114839672
"412",1103,"5/27/2005",6.180712254,NA,6.180712254
"413",1105,"5/31/2005",4.444589054,NA,4.444589054
"414",1110,"6/2/2005",16.95854182,NA,16.95854182
"415",1113,"6/3/2005",28.82410107,28.5356936694247,28.82410107
"416",1114,"6/3/2005",6.114839672,4.8377581120944,6.114839672
"417",1115,"6/3/2005",NA,NA,NA
"418",1119,"6/6/2005",14.78839753,14.7813688212928,14.78839753
"419",1122,"6/7/2005",4.709418838,NA,4.709418838
"420",1123,"6/7/2005",17.48489426,17.4848942598187,17.48489426
"421",1126,"6/8/2005",14.03390592,NA,14.03390592
"422",1128,"6/8/2005",NA,NA,NA
"423",1129,"6/9/2005",NA,NA,NA
"424",1130,"6/9/2005",24.1556145,23.7689229163042,24.1556145
"425",1135,"6/13/2005",9.612141653,9.61214165261383,9.612141653
"426",1136,"6/13/2005",21.50474799,NA,21.50474799
"427",1138,"6/14/2005",18.33599072,NA,18.33599072
"428",1140,"6/14/2005",NA,NA,NA
"429",1143,"6/15/2005",27.7965149,27.796514896009,27.7965149
"430",1144,"6/16/2005",5.7104403,NA,5.7104403
"431",1145,"6/16/2005",21.53067957,NA,21.53067957
"432",1151,"6/21/2005",18.88671875,NA,18.88671875
"433",1152,"6/21/2005",15.40570175,NA,15.40570175
"434",1155,"6/21/2005",NA,NA,NA
"435",1156,"6/22/2005",7.960255825,NA,7.960255825
"436",1157,"6/22/2005",3.524037416,NA,3.524037416
"437",1160,"6/24/2005",14.67510063,NA,14.67510063
"438",1172,"6/27/2005",NA,NA,NA
"439",1174,"6/28/2005",30.35339922,NA,30.35339922
"440",1176,"6/28/2005",4.147557328,NA,4.147557328
"441",1177,"6/28/2005",NA,NA,NA
"442",1185,"6/30/2005",NA,17.7403753143742,17.7403753143742
"443",1189,"7/1/2005",3.172002978,NA,3.172002978
"444",1191,"7/1/2005",NA,NA,NA
"445",1192,"7/5/2005",2.882742501,2.79034690799397,2.882742501
"446",1193,"7/5/2005",NA,4.63171437761338,4.63171437761338
